protein_name,uniprot_id,alphafold_id,mw_da,sequence_length,theoretical_pI,net_charge_at_ph,sasa_total_A2,radius_gyration_A,max_dimension_A,min_dimension_A,aspect_ratio,surface_pos_residue_frac,surface_neg_residue_frac,surface_hydrophobic_frac,surface_polar_frac,surface_hbond_donor_density,surface_hbond_acceptor_density,pos_patch_count,neg_patch_count,hyd_patch_count,max_pos_patch_area_A2,max_neg_patch_area_A2,max_hyd_patch_area_A2,pdb_id_or_alphafold_id,source,ph_assumed,ionic_strength_mM,buffer,surface_net_charge_index,surface_aromatic_frac,max_pos_patch_size_res,max_neg_patch_size_res,surface_residue_count,alphafold_pdb_url,sasa_per_residue_A2,net_charge_per_sasa,max_hyd_patch_size_res,alphafold_version,effective_diameter_A,effective_size_geom_A,shape_anisotropy_index,ph_distance_from_neutral,mw_da_norm,sequence_length_norm,theoretical_pI_norm,net_charge_at_ph_norm,sasa_total_A2_norm,radius_gyration_A_norm,max_dimension_A_norm,min_dimension_A_norm,aspect_ratio_norm,surface_pos_residue_frac_norm,surface_neg_residue_frac_norm,surface_hydrophobic_frac_norm,surface_polar_frac_norm,surface_hbond_donor_density_norm,surface_hbond_acceptor_density_norm,pos_patch_count_norm,neg_patch_count_norm,hyd_patch_count_norm,max_pos_patch_area_A2_norm,max_neg_patch_area_A2_norm,max_hyd_patch_area_A2_norm,ph_assumed_norm,ionic_strength_mM_norm,surface_net_charge_index_norm,surface_aromatic_frac_norm,max_pos_patch_size_res_norm,max_neg_patch_size_res_norm,surface_residue_count_norm,sasa_per_residue_A2_norm,net_charge_per_sasa_norm,max_hyd_patch_size_res_norm,effective_diameter_A_norm,effective_size_geom_A_norm,shape_anisotropy_index_norm,ph_distance_from_neutral_norm,electrostatic_interaction_score,transport_size_score,surface_interaction_score,protein_stability_score,overall_protein_interaction_profile
GFP,P42212,AF-P42212-F1,26886.0,238,5.984408,-7.245933,11040.295038,17.553974,57.881001,35.961998,1.609505,0.284365,0.225065,0.242695,0.247875,46.857143,44.514286,20,21,12,62.5,37.5,325.0,AF-P42212-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.059299,0.083974,5,3,175,https://alphafold.ebi.ac.uk/files/AF-P42212-F1-model_v6.pdb,63.0874,-0.000656,26,v4,35.107948,45.623639072305465,1.6095045942664252,1.4155920000000002,0.14030183661359621,0.13632781717888104,0.33424249173414877,0.5319678528343157,0.14572521884078757,0.2742812093509424,0.25164925263082655,0.13628543473076976,0.08267835521477068,0.7024536246869899,0.6477519471761314,0.11305851435850267,0.3529475192162541,0.49508231510115297,0.49508231335510233,0.25,0.2337662337662338,0.07692307692307693,0.3,0.2857142857142857,0.14173228346456693,0.0,0.0,0.47770894271535147,0.3570150014685589,0.3,0.2857142857142857,0.09240407204385279,0.4081787123800598,0.09801618790668148,0.14173228346456693,0.2742812093509424,0.18713646117942517,0.08267829569160548,0.3918086843046032,0.615695830044732,0.6981593587518558,,0.4264850386237488,
Firefly luciferase,P08659,AF-P08659-F1,60745.0,550,6.883545,-2.95722,23512.900384,23.913055,81.805,59.042,1.385539,0.299742,0.183548,0.295317,0.221393,42.278481,40.164557,45,34,13,50.0,62.5,1500.0,AF-P08659-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.116195,0.069015,4,5,395,https://alphafold.ebi.ac.uk/files/AF-P08659-F1-model_v6.pdb,59.52633,-0.000126,120,v4,47.82611,69.49770363112727,1.3855391077538024,0.5164550000000006,0.38236450595880667,0.3821907013396375,0.4714996625575677,0.6071410054202963,0.3143379295369338,0.39380409450604337,0.37756573998552706,0.2577598078060847,0.05229773404836299,0.7503457125415789,0.49391576934763104,0.2696702112778754,0.2509665891341517,0.3385672277993501,0.3385672241445792,0.6176470588235294,0.4025974025974026,0.08391608391608392,0.2,0.5714285714285714,0.8818897637795275,0.0,0.0,0.6335354564476726,0.2741162322872391,0.2,0.5714285714285714,0.26468285043069695,0.38403484269554333,0.11483891445802255,0.8818897637795275,0.39380409450604337,0.31279013421820884,0.05229774582734839,0.14205402600663727,0.8260430562175152,0.5887633235515072,,0.7206738333521039,
Ubiquitin,P0CG47,AF-P0CG47-F1,25762.0,229,7.447675,0.060483,13593.642401,21.001923,58.089001,49.266998,1.179065,0.278467,0.183406,0.28045,0.257678,47.894737,45.5,21,19,11,37.5,37.5,237.5,AF-P0CG47-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.095061,0.029057,3,3,190,https://alphafold.ebi.ac.uk/files/AF-P0CG47-F1-model_v6.pdb,71.545486,4e-06,19,v4,42.003846,53.496454986185746,1.179065162444036,0.04767499999999991,0.13226620530895,0.12923561859732074,0.5576165588443577,0.6600357195403996,0.1802430127003005,0.33908755673787544,0.25274399558620697,0.20631214156411687,0.0242898740396435,0.684084142072282,0.49338960567367485,0.2254235825275368,0.3906984087863338,0.5305509990734196,0.5305509861496744,0.2647058823529412,0.2077922077922078,0.06993006993006994,0.09999999999999998,0.2857142857142857,0.08661417322834644,0.0,0.0,0.5756537505066772,0.05267970451484906,0.10000000000000003,0.2857142857142857,0.10415035238841033,0.4655240962574992,0.11896524361212507,0.08661417322834647,0.33908755673787544,0.2285725657983056,0.024289894756957225,0.011840289149049775,0.8597324715338251,0.6528158116764722,,0.7808194620242298,
Insulin,P01308,AF-P01308-F1,11981.0,110,4.995651,-3.422765,13934.817193,28.124803,92.428001,41.983002,2.201558,0.121946,0.100201,0.52525,0.252604,35.454545,33.681818,6,8,8,37.5,37.5,300.0,AF-P01308-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.021745,0.116144,3,3,110,https://alphafold.ebi.ac.uk/files/AF-P01308-F1-model_v6.pdb,126.680156,-0.000246,24,v4,56.249606,62.292896471740676,2.2015576923250983,2.4043490000000007,0.033743932168977024,0.035460992907801414,0.18330443840984845,0.598980868493288,0.1848552332351836,0.4729665194706296,0.43347658378239684,0.16797510642941013,0.16298937520635504,0.19659519864455763,0.1850836303811352,0.9539885060550052,0.37115867465610985,0.10530062310524646,0.10530062916508998,0.044117647058823525,0.06493506493506494,0.04895104895104895,0.09999999999999998,0.2857142857142857,0.12598425196850394,0.0,0.0,0.37485621323166923,0.5352925203243021,0.10000000000000003,0.2857142857142857,0.04150352388410337,0.8393342958825614,0.11102999523885099,0.12598425196850394,0.4729665194706296,0.27486988478257074,0.16298932462706445,0.6664572269346163,0.4720014405502122,0.47270370565368225,,0.36596813958105684,
Calmodulin,P0DP23,AF-P0DP23-F1,16838.0,149,3.830048,-24.080214,10308.349123,20.931917,61.438,37.5,1.638347,0.205005,0.320129,0.271554,0.203312,32.374101,30.755396,10,10,3,37.5,75.0,375.0,AF-P0DP23-F1,UniProt/AlphaFold,7.4,150.0,PBS,-0.115124,0.029621,3,6,139,https://alphafold.ebi.ac.uk/files/AF-P0DP23-F1-model_v6.pdb,74.160785,-0.002336,30,v4,41.863834,47.99921874364207,1.6383466666666668,3.5699520000000002,0.06846729626743497,0.06619385342789598,0.005370074588440077,0.23689425516334245,0.13583030263142473,0.33777175039759316,0.2703704045421012,0.1443802273022167,0.08659072528737785,0.4552847300950553,1.0,0.19894762844379366,0.18133751290069156,0.0,0.0,0.10294117647058824,0.09090909090909093,0.013986013986013988,0.09999999999999998,0.7142857142857142,0.1732283464566929,0.0,0.0,0.0,0.05580524137013783,0.10000000000000003,0.7142857142857142,0.06421299921691465,0.48325568767301375,0.04469131883827965,0.1732283464566929,0.33777175039759316,0.19963958190125508,0.08659067537290369,0.9902285531908864,0.014518266484007843,0.6333646911447722,,0.0003280274217083361,
Myoglobin,P68082,AF-P68082-F1,17083.0,154,7.865959,1.026745,8124.377066,15.181066,40.438999,36.896,1.096027,0.355043,0.208158,0.280577,0.156223,41.6,39.52,10,13,2,100.0,37.5,600.0,AF-P68082-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.146884,0.021993,8,3,125,https://alphafold.ebi.ac.uk/files/AF-P68082-F1-model_v6.pdb,64.995017,0.000126,48,v4,30.362132,38.62689875079282,1.0960266424544667,0.4659589999999998,0.07021883511942636,0.07013396375098503,0.6214694293643152,0.676972493058244,0.1063059620145298,0.2296809266422271,0.15984872947106302,0.14120126218178516,0.013025905310389246,0.9225821923781283,0.5851051215734517,0.22580155534325586,0.0,0.31537431402942917,0.31537430882588513,0.10294117647058824,0.12987012987012986,0.006993006993006993,0.6000000000000001,0.2857142857142857,0.31496062992125984,0.0,0.0,0.717586354224866,0.01353290957555875,0.6000000000000001,0.2857142857142857,0.05324980422866093,0.4211122565833381,0.12283764481828283,0.31496062992125984,0.2296809266422271,0.15031130647941576,0.013025856103148686,0.12802767493286957,0.9024172969562937,0.76597712132339,,0.6010976435542557,
Cytochrome c,P00004,AF-P00004-F1,11833.0,105,10.199187,8.977477,6292.709658,12.77069,35.316002,27.969,1.262684,0.3799,0.15068,0.272795,0.196625,47.959184,45.561224,12,5,2,50.0,62.5,462.5,AF-P00004-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.22922,0.040281,4,5,98,https://alphafold.ebi.ac.uk/files/AF-P00004-F1-model_v6.pdb,64.211323,0.001427,37,v4,25.54138,31.428542122376594,1.2626837570166969,2.799187,0.032685859719610806,0.031520882584712376,0.977646824095023,0.8163340194197044,0.08154430250642143,0.1843764095542058,0.13288543679709708,0.09421678928428123,0.035632654467538105,1.0,0.37212740571665714,0.20264104784778703,0.15558619202390667,0.5327540286552799,0.5327539923189843,0.13235294117647056,0.025974025974025983,0.006993006993006993,0.2,0.5714285714285714,0.22834645669291337,0.0,0.0,0.943087827696892,0.11488010462790037,0.2,0.5714285714285714,0.03210649960845733,0.41579885195817273,0.16413267735280115,0.22834645669291337,0.1843764095542058,0.11242500739636549,0.035632619573848334,0.7761319814748611,0.8278063323700672,0.8037460505878449,,0.048686294165915606,
Hemoglobin alpha,P69905,AF-P69905-F1,15258.0,142,8.980149,2.838018,7900.621152,14.662841,44.399002,26.867001,1.652548,0.328841,0.097465,0.405859,0.167835,39.2,37.24,17,9,1,62.5,37.5,812.5,AF-P69905-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.231377,0.047809,5,3,125,https://alphafold.ebi.ac.uk/files/AF-P69905-F1-model_v6.pdb,63.204969,0.000359,65,v4,29.325682,34.53792163887402,1.6525477480720683,1.5801490000000005,0.05717165795663332,0.06067769897557132,0.7915553752877343,0.7087207358536622,0.10328108548334593,0.2199405652347372,0.1806909669111363,0.0884167621588666,0.08851706768392084,0.8409753454010886,0.17494571621251084,0.5986613214762962,0.04471726305087875,0.23333370707387613,0.23333370275594545,0.20588235294117646,0.07792207792207793,0.0,0.3,0.2857142857142857,0.44881889763779526,0.0,0.0,0.9489954097785958,0.15659826322118714,0.3,0.2857142857142857,0.05324980422866093,0.4089758240950609,0.13023329630217428,0.44881889763779526,0.2199405652347372,0.12879025413333503,0.08851702870743344,0.4375179336242713,0.9270980061298371,0.7505537585294517,,0.3467792507023645,
Hemoglobin beta,P68871,AF-P68871-F1,15998.0,147,7.282472,-0.345698,7897.923216,15.08029,46.871002,33.647999,1.39298,0.326967,0.154892,0.339295,0.178846,38.709677,36.774194,12,10,1,62.5,37.5,787.5,AF-P68871-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.172075,0.058974,5,3,124,https://alphafold.ebi.ac.uk/files/AF-P68871-F1-model_v6.pdb,63.692929,-4.4e-05,63,v4,30.16058,39.71291261573492,1.3929803671237626,0.11752800000000008,0.06246202020346447,0.06461780929866037,0.5323976028993335,0.6529161229876516,0.10324461304718482,0.2277867790013352,0.19370156588084947,0.1241064246153501,0.05330709351408208,0.8351387210504677,0.3877344577920393,0.40055594741713596,0.08712010351360922,0.21657270852209787,0.21657273497041274,0.13235294117647056,0.09090909090909093,0.0,0.3,0.2857142857142857,0.43307086614173224,0.0,0.0,0.7865793538633451,0.21847170114547598,0.3,0.2857142857142857,0.05246671887235709,0.41228416755678915,0.11744167592445645,0.4330708661417323,0.2277867790013352,0.15602720084523697,0.0533071404214088,0.03124346368873378,0.9718322502414399,0.7544441741915285,,0.6766927993877249,
Ferritin heavy chain,P02794,AF-P02794-F1,21226.0,183,5.285566,-10.313709,10880.323124,18.92506,62.037003,37.312,1.662656,0.273758,0.218612,0.204707,0.302922,52.380952,49.761905,13,15,9,112.5,50.0,375.0,AF-P02794-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.055146,0.056459,9,4,147,https://alphafold.ebi.ac.uk/files/AF-P02794-F1-model_v6.pdb,74.015804,-0.000948,30,v4,37.85012,48.11158546479216,1.6626555263722127,2.114434,0.09983771456350937,0.0929866036249015,0.22756122317042626,0.4781954522685495,0.14356261549477203,0.3000516240564268,0.2735230695156672,0.14339074809254593,0.08988820133255523,0.6694178325380906,0.6238411430350009,0.0,0.5649309139081008,0.6839059163788808,0.6839059287867388,0.14705882352941174,0.15584415584415584,0.05594405594405595,0.7,0.42857142857142855,0.1732283464566929,0.0,0.0,0.46633472464149167,0.20453424513297386,0.7,0.42857142857142855,0.07047768206734534,0.48227272402143406,0.08874781780669735,0.1732283464566929,0.3000516240564268,0.20023098899932362,0.08988813220845027,0.5859270944181534,0.5171003649571031,0.6699856652074231,,0.2923688576046666,
Ferritin light chain,P02792,AF-P02792-F1,20020.0,175,5.587763,-6.498256,10131.171552,18.545256,66.990997,30.940001,2.165191,0.281951,0.223708,0.288332,0.206009,44.604317,42.374101,14,12,6,62.5,87.5,575.0,AF-P02792-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.058243,0.056984,5,7,139,https://alphafold.ebi.ac.uk/files/AF-P02792-F1-model_v6.pdb,72.886126,-0.000641,46,v4,37.090512,45.52693174562719,2.1651905247191165,1.8122370000000005,0.09121585392880888,0.08668242710795902,0.27369290861026985,0.5450732383441477,0.13343510213464563,0.29291297149429596,0.29959686774882466,0.10985372397263757,0.15805625120557482,0.6949351555394984,0.6427237492496609,0.2488817064133354,0.1917235324019162,0.41807264326563187,0.4180726315560699,0.16176470588235292,0.11688311688311688,0.03496503496503497,0.3,0.8571428571428572,0.2992125984251968,0.0,0.0,0.4748167745752128,0.2074436544397586,0.3,0.8571428571428572,0.06421299921691465,0.47461356584216063,0.09849230280907793,0.2992125984251969,0.29291297149429596,0.18662747240723904,0.15805617815847656,0.5019853719957968,0.5757963237796931,0.6544016357862118,,0.3535548218047591,
Transferrin,P02787,AF-P02787-F1,77064.0,698,7.118765,-3.059516,31200.448371,29.751789,94.855003,81.962997,1.157291,0.277487,0.202753,0.296589,0.22317,48.148148,45.740741,51,54,30,100.0,62.5,1175.0,AF-P02787-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.074734,0.033431,8,5,513,https://alphafold.ebi.ac.uk/files/AF-P02787-F1-model_v6.pdb,60.819587,-9.8e-05,94,v4,59.503578,88.17369407212102,1.1572905636918083,0.28123500000000057,0.49903129177777616,0.4988179669030733,0.5074070178561315,0.6053479470326318,0.4182631535568274,0.5035467339429656,0.4462503498506379,0.3783973077870714,0.021336266593525083,0.681031905218702,0.5650775535612387,0.273455891762871,0.2578097321277284,0.5392134958439252,0.5392135026171672,0.7058823529411765,0.6623376623376623,0.20279720279720279,0.6000000000000001,0.5714285714285714,0.6771653543307087,0.0,0.0,0.5199822526045946,0.07691924033937568,0.6000000000000001,0.5714285714285714,0.3570869224745497,0.3928030580006591,0.11572766227582924,0.6771653543307087,0.5035467339429656,0.4110853696510433,0.02133620625134472,0.07671660720967136,0.7850293714435537,0.4893411973065862,,0.8601531822211587,
β-Lactoglobulin,P02754,AF-P02754-F1,19883.0,178,4.652752,-7.495371,10757.707021,19.562572,88.308006,37.371002,2.363009,0.21921,0.186839,0.357862,0.236089,38.77551,36.836735,12,11,5,50.0,75.0,662.5,AF-P02754-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.032371,0.019551,4,6,147,https://alphafold.ebi.ac.uk/files/AF-P02754-F1-model_v6.pdb,73.18168,-0.000697,53,v4,39.125144,57.447007483784674,2.3630087841904803,2.747248,0.09023642199932796,0.08904649330181245,0.1309594157734989,0.5275956691897721,0.14190501205681363,0.31203405887067104,0.41179227848214467,0.14370128666876397,0.18488993898807948,0.49952659183495485,0.506110168298268,0.4558143826096789,0.3075601903911027,0.21882311655447473,0.21882313038454426,0.13235294117647056,0.10389610389610392,0.027972027972027975,0.2,0.7142857142857142,0.3543307086614173,0.0,0.0,0.40395865514181484,0.0,0.2,0.7142857142857142,0.07047768206734534,0.4766174066149445,0.09671480717346453,0.3543307086614173,0.31203405887067104,0.24936506347430015,0.1848898996818667,0.7617048060863074,0.4292179832361091,0.6263359745687067,,0.16187964716077932,
Casein beta,P02666,AF-P02666-F1,25107.0,224,5.053946,-6.717209,29320.732554,39.875152,113.606003,91.728004,1.238509,0.126779,0.101106,0.54071,0.231405,34.375,32.65625,15,14,18,50.0,50.0,262.5,AF-P02666-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.025672,0.0867,4,4,224,https://alphafold.ebi.ac.uk/files/AF-P02666-F1-model_v6.pdb,130.896127,-0.000229,21,v4,79.750304,102.08257391743221,1.238509485064125,2.3460540000000005,0.1275835198066873,0.1252955082742317,0.19220342351795905,0.5412353999814132,0.3928519447154897,0.6938216420990966,0.5449403746407238,0.4297923684721208,0.032353355302942144,0.21164770957654885,0.18843699745811074,0.9999999999999999,0.2895223278239035,0.06839790350698283,0.06839790096950393,0.1764705882352941,0.14285714285714285,0.1188811188811189,0.2,0.42857142857142855,0.10236220472440943,0.0,0.0,0.38561146350281,0.3721217629357879,0.2,0.42857142857142855,0.1307752545027408,0.8679183603400701,0.11156959212823363,0.10236220472440943,0.6938216420990966,0.48429040920819155,0.03235341934562108,0.6502645357146132,0.46591768833611386,0.29539388478569634,,0.5548147452992732,
GAPDH,P04406,AF-P04406-F1,36053.0,335,8.651481,3.681172,15139.391841,20.26055,69.311005,44.706001,1.550374,0.270875,0.144306,0.337623,0.247195,44.223108,42.011952,25,28,3,50.0,25.0,1312.5,AF-P04406-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.126569,0.078464,4,2,251,https://alphafold.ebi.ac.uk/files/AF-P04406-F1-model_v6.pdb,60.316302,0.000243,105,v4,40.5211,55.665230250498425,1.5503736288110401,1.251481,0.20583798623075988,0.21276595744680848,0.7413827766512734,0.7234996553792822,0.20113944900252312,0.3251529897876993,0.3118075043566428,0.1823067601445922,0.07465733188894955,0.660438650039243,0.34850932643638977,0.39557980137082105,0.35032887136277513,0.4050415525419153,0.4050415247807968,0.32352941176470584,0.3246753246753247,0.013986013986013988,0.2,0.14285714285714285,0.7637795275590551,0.0,0.0,0.6619477218698304,0.3264800580773515,0.2,0.14285714285714285,0.1519185591229444,0.3893908118347113,0.1265513410569751,0.7637795275590551,0.3251529897876993,0.23998723619450546,0.07465727748692,0.3462233210863867,0.8011677822686636,0.649961251049994,,0.5033286250748781,
Enolase 1,P06733,AF-P06733-F1,47169.0,434,7.405049,0.014245,16415.989674,21.107326,64.555,52.266998,1.235101,0.346014,0.165022,0.262829,0.226135,45.255474,42.992701,35,27,16,50.0,75.0,300.0,AF-P06733-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.180992,0.044085,4,6,274,https://alphafold.ebi.ac.uk/files/AF-P06733-F1-model_v6.pdb,59.912371,1e-06,24,v4,42.214652,58.0869697599212,1.2351005887118294,0.005048999999999637,0.28530780614396933,0.29078014184397166,0.5511095146858823,0.6592252535033226,0.21839732056341457,0.3410686717235161,0.28677575931095073,0.2221017034205649,0.03189106568337882,0.8944611244689729,0.4252699367862516,0.17298059838751423,0.2692278069594417,0.44033152472536385,0.440331543360835,0.4705882352941176,0.3116883116883117,0.1048951048951049,0.2,0.7142857142857142,0.12598425196850394,0.0,0.0,0.811001194114876,0.13596085320506068,0.2,0.7142857142857142,0.16992952231793265,0.3866521806296138,0.11887002063164578,0.12598425196850394,0.3410686717235161,0.2527333047892505,0.03189100816242671,0.0,1.0,0.6483009922223416,,0.7918304273426635,
Aldolase A,P04075,AF-P04075-F1,39420.0,364,8.139122,3.197027,15074.153288,19.522035,71.824997,44.878998,1.600414,0.283138,0.16511,0.296448,0.255304,46.212121,43.901515,30,23,7,50.0,50.0,1200.0,AF-P04075-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.118028,0.061036,4,4,264,https://alphafold.ebi.ac.uk/files/AF-P04075-F1-model_v6.pdb,57.099065,0.000212,96,v4,39.04407,56.7752930130088,1.600414452212146,0.7391220000000001,0.2299091344538416,0.235618597320725,0.6631689485183904,0.7150134950885982,0.20025751223325364,0.3112721407262831,0.32503911508684796,0.18321727575541885,0.08144517595084755,0.6986320995652119,0.42559601004898506,0.273036252652506,0.3815562470155115,0.473033149942951,0.47303314483664494,0.39705882352941174,0.25974025974025977,0.04195804195804196,0.2,0.42857142857142855,0.6929133858267716,0.0,0.0,0.6385556687591065,0.22989875255612385,0.2,0.42857142857142855,0.1620986687548943,0.3675781120359978,0.1255673702586891,0.6929133858267716,0.3112721407262831,0.24582970441223784,0.08144523287351968,0.2039045788136434,0.8397443160293949,0.661579448315877,,0.605650008194921,
LDHA,P00338,AF-P00338-F1,36689.0,332,8.373543,3.20161,17010.992711,21.724687,73.664001,49.306999,1.493987,0.270631,0.145882,0.355736,0.227751,45.714286,43.428571,33,22,9,50.0,37.5,1050.0,AF-P00338-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.12475,0.08621,4,3,245,https://alphafold.ebi.ac.uk/files/AF-P00338-F1-model_v6.pdb,69.432623,0.000188,84,v4,43.449374,60.26732799488458,1.493986705619622,0.9735429999999994,0.2103848381077661,0.2104018912529551,0.6989543329943896,0.7150938265442824,0.2264409547647632,0.3526723559511959,0.33471813755759977,0.20652267431872345,0.06700852766995993,0.6596787053532497,0.3543490021417085,0.4494870581512663,0.27545094656418,0.456015364291402,0.4560153323817582,0.4411764705882353,0.24675324675324678,0.05594405594405595,0.2,0.2857142857142857,0.5984251968503936,0.0,0.0,0.6569658526966181,0.36940631424945547,0.2,0.2857142857142857,0.1472200469851214,0.4511989948320186,0.1248055864148548,0.5984251968503936,0.3526723559511959,0.2642089385293072,0.06700848410190724,0.26902005815980234,0.8253267656930202,0.6249914826815016,,0.5867569964421478,
TPI1,P60174,AF-P60174-F1,26669.0,249,6.890422,-1.125063,11219.999676,17.034151,50.728001,44.498001,1.140006,0.236979,0.173617,0.343356,0.246048,45.402299,43.132184,18,19,13,75.0,50.0,325.0,AF-P60174-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.063361,0.042684,6,4,174,https://alphafold.ebi.ac.uk/files/AF-P60174-F1-model_v6.pdb,64.482757,-0.0001,26,v4,34.068302,47.51099492986861,1.1400062892712866,0.5095780000000003,0.13875047363040385,0.1449960598896769,0.4725494664959583,0.6392553058461984,0.1481545818565561,0.2645108125388905,0.21400167397776892,0.18121201718921182,0.018991584646884274,0.5548686292341999,0.457117660572555,0.4126421490284312,0.34591182858639213,0.44535052977380096,0.44535052136805153,0.22058823529411764,0.2077922077922078,0.08391608391608392,0.39999999999999997,0.42857142857142855,0.14173228346456693,0.0,0.0,0.4888339303907714,0.1281968866549551,0.4000000000000001,0.42857142857142855,0.09162098668754895,0.4176391603834346,0.11566418028884305,0.14173228346456693,0.2645108125388905,0.19706996853213277,0.018991622855587587,0.1401437912091424,0.7534877919747673,0.729158646509247,,0.6191928042994134,
PKM,P14618,AF-P14618-F1,57937.0,531,7.88443,2.400014,23644.663502,24.919736,75.119003,59.339001,1.26593,0.303646,0.185386,0.328554,0.182414,43.342037,41.174935,43,39,14,75.0,50.0,1000.0,AF-P14618-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.11826,0.055041,6,4,383,https://alphafold.ebi.ac.uk/files/AF-P14618-F1-model_v6.pdb,61.735414,0.000102,80,v4,49.839472,66.76441113449593,1.265929687626524,0.4844299999999997,0.36228972597353387,0.36721828211189916,0.6242891077918288,0.7010433413706857,0.3161191882138053,0.41272529043841505,0.3423760855843517,0.25932297969306034,0.036072969052368675,0.7625048275174725,0.5007262540851792,0.3685889709318071,0.10086030283892233,0.3749233860373584,0.37492337479358495,0.5882352941176471,0.4675324675324676,0.09090909090909091,0.39999999999999997,0.42857142857142855,0.5669291338582677,0.0,0.0,0.6391910693353491,0.1966760691386486,0.4000000000000001,0.42857142857142855,0.25528582615505085,0.3990123175045615,0.12207586097444852,0.5669291338582677,0.41272529043841505,0.29840430390243355,0.036072924722124894,0.1331583928250503,0.8628756677283511,0.5752504013208766,,0.7428343995042674,
Creatine kinase B,P12277,AF-P12277-F1,42644.0,381,5.294717,-14.118664,16901.620049,21.554158,64.389999,52.771,1.220178,0.240873,0.232969,0.307997,0.218161,42.198582,40.088652,25,31,17,150.0,75.0,525.0,AF-P12277-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.007905,0.062752,12,6,282,https://alphafold.ebi.ac.uk/files/AF-P12277-F1-model_v6.pdb,59.934823,-0.000835,42,v4,43.108316,58.291720142992865,1.2201777301927195,2.105283,0.252957955918414,0.24901497241922776,0.2289581630919344,0.4115016765839118,0.22496238469024485,0.3494671572624838,0.2859073281456588,0.2247543603388228,0.029866785169076177,0.5669965989360773,0.6770392547743795,0.30740796957170025,0.23852030992467532,0.33583599344304127,0.33583595563416746,0.32352941176470584,0.36363636363636365,0.11188811188811189,1.0,0.7142857142857142,0.26771653543307083,0.0,0.0,0.33695128230409394,0.2394083646903003,1.0000000000000002,0.7142857142857142,0.17619420516836337,0.38680440402375005,0.09233455007141725,0.26771653543307083,0.3494671572624838,0.253810944402131,0.02986674694961025,0.583385207166172,0.4219245421313216,0.6405772604209794,,0.3337612768642129,
SOD1,P00441,AF-P00441-F1,15936.0,154,6.066886,-5.596456,7851.13375,14.35223,42.187,34.710999,1.215378,0.219534,0.217034,0.317952,0.24548,42.608696,40.478261,11,13,8,87.5,37.5,425.0,AF-P00441-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.0025,0.025823,7,3,115,https://alphafold.ebi.ac.uk/files/AF-P00441-F1-model_v6.pdb,68.270728,-0.000713,34,v4,28.70446,38.266864449716806,1.2153784453164254,1.3331140000000001,0.062018773636838075,0.07013396375098503,0.3468331168949129,0.5608801130410643,0.10261208291611519,0.21410243817189417,0.169048786109274,0.1297011926998182,0.029215673028846173,0.5005356987130772,0.6179940565737111,0.3370356812290366,0.34372448743819217,0.3498551607267786,0.3498551479544758,0.11764705882352942,0.12987012987012986,0.04895104895104895,0.5,0.2857142857142857,0.20472440944881887,0.0,0.0,0.3221480921549939,0.03475774318505505,0.5,0.2857142857142857,0.04541895066562255,0.4433214070656755,0.096206951277575,0.20472440944881887,0.21410243817189417,0.14841637852365486,0.029215731850063598,0.36889864422494945,0.5439272231604911,0.7761589845447512,,0.39679451647430364,
